Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
FLOORSMIN_MEDI,1,"[0.20, 0.22)",27021,0.11,25081,1940,0.072,0.123,0.002,0.0,-0.813,0.865
FLOORSMIN_MEDI,2,"[0.22, inf)",25712,0.105,24265,1447,0.056,0.383,0.013,0.002,-0.813,-9.272
FLOORSMIN_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.813,5.667
FLOORSMIN_MEDI,4,Missing,166722,0.678,152370,14352,0.086,-0.074,0.004,0.0,-0.813,8.543
LANDAREA_MEDI,0,"(-inf, 0.00)",12934,0.053,12117,817,0.063,0.261,0.003,0.0,0.114,7.095
LANDAREA_MEDI,1,"[0.00, 0.03)",17982,0.073,16553,1429,0.079,0.013,0.0,0.0,0.114,5.741
LANDAREA_MEDI,2,"[0.03, 0.05)",17330,0.07,16053,1277,0.074,0.095,0.001,0.0,0.114,6.189
LANDAREA_MEDI,3,"[0.05, 0.07)",17756,0.072,16503,1253,0.071,0.142,0.001,0.0,0.114,6.444
LANDAREA_MEDI,4,"[0.07, 0.13)",21417,0.087,20015,1402,0.065,0.222,0.004,0.0,0.114,6.886
LANDAREA_MEDI,5,"[0.13, inf)",12581,0.051,11822,759,0.06,0.31,0.004,0.001,0.114,7.364
LANDAREA_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.114,5.667
LANDAREA_MEDI,7,Missing,146008,0.594,133153,12855,0.088,-0.098,0.006,0.001,0.114,5.128
LIVINGAPARTMENTS_MEDI,0,"(-inf, 0.05)",16856,0.069,15449,1407,0.083,-0.04,0.0,0.0,-0.512,6.652
LIVINGAPARTMENTS_MEDI,1,"[0.05, 0.08)",24609,0.1,22922,1687,0.069,0.173,0.003,0.0,-0.512,1.423
LIVINGAPARTMENTS_MEDI,2,"[0.08, 0.16)",23261,0.095,21738,1523,0.065,0.222,0.004,0.001,-0.512,0.214
LIVINGAPARTMENTS_MEDI,3,"[0.16, inf)",13255,0.054,12531,724,0.055,0.415,0.008,0.001,-0.512,-4.518
LIVINGAPARTMENTS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.512,5.667
LIVINGAPARTMENTS_MEDI,5,Missing,168027,0.683,153576,14451,0.086,-0.073,0.004,0.0,-0.512,7.454
LIVINGAREA_MEDI,0,"(-inf, 0.03)",21596,0.088,19650,1946,0.09,-0.124,0.001,0.0,0.339,3.652
LIVINGAREA_MEDI,1,"[0.03, 0.06)",20516,0.083,19015,1501,0.073,0.103,0.001,0.0,0.339,7.34
LIVINGAREA_MEDI,2,"[0.06, 0.08)",20827,0.085,19345,1482,0.071,0.133,0.001,0.0,0.339,7.827
LIVINGAREA_MEDI,3,"[0.08, 0.13)",28780,0.117,26897,1883,0.065,0.223,0.005,0.001,0.339,9.293
LIVINGAREA_MEDI,4,"[0.13, 0.21)",14291,0.058,13452,839,0.059,0.338,0.006,0.001,0.339,11.171
LIVINGAREA_MEDI,5,"[0.21, inf)",16550,0.067,15677,873,0.053,0.452,0.011,0.001,0.339,13.015
LIVINGAREA_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.339,5.667
LIVINGAREA_MEDI,7,Missing,123448,0.502,112180,11268,0.091,-0.138,0.01,0.001,0.339,3.422
NONLIVINGAPARTMENTS_MEDI,0,"(-inf, 0.01)",62909,0.256,58500,4409,0.07,0.149,0.005,0.001,0.43,8.74
NONLIVINGAPARTMENTS_MEDI,1,"[0.01, inf)",12441,0.051,11660,781,0.063,0.267,0.003,0.0,0.43,11.169
NONLIVINGAPARTMENTS_MEDI,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.43,5.667
NONLIVINGAPARTMENTS_MEDI,3,Missing,170658,0.694,156056,14602,0.086,-0.067,0.003,0.0,0.43,4.284
NONLIVINGAREA_MEDI,0,"(-inf, 0.00)",50015,0.203,46421,3594,0.072,0.122,0.003,0.0,-0.635,1.948
NONLIVINGAREA_MEDI,1,"[0.00, 0.06)",45209,0.184,42126,3083,0.068,0.179,0.005,0.001,-0.635,0.236
NONLIVINGAREA_MEDI,2,"[0.06, inf)",15107,0.061,14236,871,0.058,0.358,0.007,0.001,-0.635,-5.213
NONLIVINGAREA_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.635,5.667
NONLIVINGAREA_MEDI,4,Missing,135677,0.552,123433,12244,0.09,-0.126,0.009,0.001,-0.635,9.486
FONDKAPREMONT_MODE,0,['org spec account' 'reg oper spec account'],14196,0.058,13301,895,0.063,0.263,0.004,0.0,-0.226,2.829
FONDKAPREMONT_MODE,1,['reg oper account' 'not specified'],63705,0.259,59257,4448,0.07,0.153,0.006,0.001,-0.226,4.011
